test,Any,expertise_range,gradient_range,index_dupplicated,measuring_range,measuring_range,measuring_range,missing_test,multivariate_range,physical_range,physical_range,physical_range,timestamp_consistency
data_parameter,,app1_conc [mg/l],app1_conc [mg/l],Date&Time,app1_conc [mg/l],app1_h [m],app1_t_water [C],app1_conc [mg/l],app1_conc [mg/l],app1_conc [mg/l],app1_h [m],app1_t_water [C],Date&Time
A,72.14673913043478,72.14673913043478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,0.1358695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1358695652173913,0.1358695652173913,0.1358695652173913,0.0
C,100.0,0.0,0.0,0.0,0.2717391304347826,0.1358695652173913,100.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.1358695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.1358695652173913,0.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.4945652173913044,0.0,1.4945652173913044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.2717391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2717391304347826
None,100.0,27.85326086956522,98.5054347826087,100.0,99.72826086956522,99.86413043478261,0.0,99.86413043478261,100.0,99.86413043478261,99.86413043478261,99.86413043478261,99.72826086956522
